SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
150,2023-07-13,630.00,637.00,611.60,611.60,-2.44,"58,784.00","36,653,762.10"
151,2023-07-12,626.20,638.70,615.00,626.90,2.10,"66,632.00","41,650,288.50"
152,2023-07-11,617.00,625.50,614.00,614.00,-1.46,"59,519.00","36,951,882.60"
153,2023-07-10,627.00,633.00,617.00,623.10,0.34,"83,233.00","52,017,003.80"
154,2023-07-09,613.50,624.00,607.00,621.00,3.16,"73,559.00","45,300,396.40"
155,2023-07-06,615.00,615.00,585.00,602.00,-0.17,"68,144.00","40,897,566.20"
156,2023-07-05,619.00,627.00,601.00,603.00,-3.37,"96,235.00","58,653,522.10"
157,2023-07-04,623.10,635.00,614.00,624.00,0.16,"68,639.00","42,656,793.80"
158,2023-07-03,625.00,642.60,618.00,623.00,-0.64,"125,976.00","79,339,760.40"
159,2023-07-02,625.00,645.20,615.00,627.00,1.01,"262,138.00","166,757,292.40"
160,2023-06-28,620.00,637.00,603.10,620.70,1.09,"171,380.00","106,571,208.90"
161,2023-06-27,618.00,623.00,607.00,614.00,-0.62,"100,341.00","61,505,208.20"
162,2023-06-26,635.00,646.00,612.00,617.80,-1.31,"160,253.00","99,697,572.00"
163,2023-06-25,591.60,630.00,590.00,626.00,7.93,"280,107.00","173,489,853.70"
164,2023-06-22,576.00,586.50,558.00,580.00,2.64,"163,772.00","94,729,925.60"
165,2023-06-21,551.00,573.00,545.00,565.10,2.56,"138,294.00","77,613,647.60"
166,2023-06-20,567.00,580.00,543.00,551.00,-2.82,"159,808.00","89,408,610.30"
167,2023-06-19,600.60,600.60,565.00,567.00,-3.72,"169,985.00","98,167,450.00"
168,2023-06-18,544.00,589.00,542.00,588.90,8.06,"171,616.00","98,479,964.40"
169,2023-06-15,510.00,559.10,506.00,545.00,6.03,"116,936.00","61,732,738.80"
170,2023-06-14,510.00,533.40,504.00,514.00,2.80,"131,392.00","68,329,091.80"
171,2023-06-13,483.10,511.00,483.10,500.00,2.04,"114,548.00","57,568,193.00"
172,2023-06-12,500.00,500.00,483.00,490.00,-1.41,"73,031.00","35,838,680.60"
173,2023-06-11,485.00,501.00,485.00,497.00,2.90,"78,546.00","38,862,038.50"
174,2023-06-08,455.20,485.00,455.20,483.00,4.09,"74,260.00","35,216,284.90"
175,2023-06-07,468.80,469.00,456.80,464.00,0.65,"52,090.00","24,134,564.00"
176,2023-06-06,444.00,465.00,441.00,461.00,3.13,"53,478.00","24,411,849.10"
177,2023-06-05,455.00,460.00,445.10,447.00,-1.54,"39,404.00","17,792,738.50"
178,2023-06-04,443.00,460.00,443.00,454.00,4.46,"28,019.00","12,713,063.80"
179,2023-06-01,433.50,440.00,417.00,434.60,2.26,"33,276.00","14,383,865.30"
180,2023-05-31,437.00,446.00,422.40,425.00,-4.28,"60,660.00","26,184,152.00"
181,2023-05-30,452.00,455.00,438.00,444.00,-3.67,"65,840.00","29,215,612.70"
182,2023-05-28,479.80,480.30,460.00,460.90,-2.14,"66,673.00","31,109,827.90"
183,2023-05-24,466.00,474.70,455.50,471.00,1.40,"26,524.00","12,408,898.30"
184,2023-05-23,449.90,468.00,445.00,464.50,4.19,"111,353.00","51,085,490.10"
185,2023-05-22,430.00,446.00,426.40,445.80,2.96,"56,040.00","24,425,177.00"
186,2023-05-21,435.00,445.90,430.30,433.00,-0.23,"36,575.00","15,972,215.20"
187,2023-05-18,423.00,435.90,423.00,434.00,2.60,"27,250.00","11,734,620.30"
188,2023-05-17,418.90,424.80,413.00,423.00,2.92,"16,646.00","6,991,241.20"
189,2023-05-16,412.00,421.70,407.10,411.00,-0.72,"12,355.00","5,104,505.80"
190,2023-05-15,412.00,414.90,409.10,414.00,0.00,"15,168.00","6,243,732.00"
