SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
35,2024-01-10,489.20,508.80,470.00,475.00,-1.04,"36,278.00","17,390,489.10"
36,2024-01-09,473.30,483.40,471.00,480.00,2.13,"46,965.00","22,425,556.00"
37,2024-01-08,463.00,479.00,453.10,470.00,3.30,"24,747.00","11,526,780.70"
38,2024-01-07,479.00,479.00,453.00,455.00,-3.19,"37,213.00","17,118,022.60"
39,2024-01-04,468.00,472.00,457.10,470.00,0.43,"39,911.00","18,507,617.60"
40,2024-01-03,462.00,477.00,458.10,468.00,1.23,"25,567.00","11,981,235.00"
41,2024-01-02,492.00,492.60,461.10,462.30,-4.29,"34,760.00","16,371,740.90"
42,2024-01-01,481.00,492.00,479.00,483.00,1.05,"44,718.00","21,671,025.70"
43,2023-12-28,476.00,489.00,476.00,478.00,-1.44,"36,085.00","17,364,473.40"
44,2023-12-27,485.10,493.00,479.30,485.00,0.83,"29,564.00","14,358,196.80"
45,2023-12-24,479.00,503.90,477.10,481.00,0.42,"64,387.00","31,485,595.10"
46,2023-12-21,490.00,505.00,479.00,479.00,-4.20,"68,516.00","33,479,052.10"
47,2023-12-20,506.00,514.90,497.00,500.00,-0.99,"64,614.00","32,671,750.60"
48,2023-12-19,493.00,510.00,478.50,505.00,4.34,"87,134.00","42,983,597.50"
49,2023-12-18,486.00,505.00,479.30,484.00,0.00,"70,796.00","34,343,953.50"
50,2023-12-17,484.50,494.00,476.00,484.00,-2.02,"88,152.00","42,800,437.60"
51,2023-12-14,488.10,496.00,482.00,494.00,-0.80,"39,529.00","19,329,026.40"
52,2023-12-13,499.00,510.00,490.00,498.00,-1.58,"61,061.00","30,396,077.90"
53,2023-12-12,484.10,516.00,466.00,506.00,3.90,"187,344.00","92,594,329.00"
54,2023-12-11,485.00,497.00,470.10,487.00,1.46,"85,244.00","40,924,522.10"
55,2023-12-10,479.40,505.00,479.40,480.00,2.13,"10,050.00","4,969,928.20"
56,2023-12-07,468.00,475.00,455.60,470.00,1.08,"28,134.00","13,152,594.50"
57,2023-12-06,445.00,469.00,445.00,465.00,2.88,"25,345.00","11,592,171.40"
58,2023-12-05,451.00,466.00,450.00,452.00,0.44,"27,827.00","12,723,365.70"
59,2023-12-04,440.00,457.00,434.30,450.00,2.23,"19,405.00","8,741,394.50"
60,2023-12-03,440.00,449.00,438.00,440.20,-0.97,"10,678.00","4,717,790.70"
61,2023-11-30,450.80,460.00,439.00,444.50,-3.37,"26,385.00","11,830,621.50"
62,2023-11-29,461.00,472.00,454.20,460.00,-1.29,"13,253.00","6,110,107.20"
63,2023-11-28,460.10,471.00,460.10,466.00,-0.43,"6,085.00","2,841,183.50"
64,2023-11-27,469.00,480.00,462.00,468.00,-2.09,"36,942.00","17,236,838.50"
65,2023-11-26,454.00,483.40,450.00,478.00,4.14,"28,515.00","13,417,656.70"
66,2023-11-23,416.00,459.00,416.00,459.00,8.25,"30,831.00","13,539,880.40"
67,2023-11-22,413.00,424.00,407.70,424.00,2.59,"8,975.00","3,749,391.20"
68,2023-11-21,416.30,420.00,411.10,413.30,-2.52,"4,793.00","1,991,972.80"
69,2023-11-20,420.00,430.00,416.60,424.00,1.44,"12,309.00","5,230,849.40"
70,2023-11-09,420.00,433.00,414.10,418.00,-1.65,"9,178.00","3,840,249.80"
71,2023-11-08,419.00,428.40,415.00,425.00,0.83,"5,674.00","2,400,152.00"
72,2023-11-07,419.00,424.00,412.40,421.50,0.60,"6,213.00","2,606,669.30"
